人物ID,著者名,作品ID,作品名,仮名遣い種別,翻訳者名等,状態,状態の開始日,底本名,出版社名,作品名読み,原題,XHTML/HTMLファイルURL
809,宮原 晃一郎,42761,子良の昇天,新字旧仮名,,公開,2004-09-15,日本児童文学大系　第一一巻　楠山正雄　沖野岩三郎　宮原晃一郎集,ほるぷ出版,しりょうのしょうてん,,https://www.aozora.gr.jp/cards/000809/files/42761_16366.html
809,宮原 晃一郎,43013,スカンヂナヴィア文学概観,旧字旧仮名,,公開,2008-04-15,北歐の散策,生活社,スカンジナヴィアぶんがくがいかん,,https://www.aozora.gr.jp/cards/000809/files/43013_30588.html
809,宮原 晃一郎,42757,虹猫と木精,新字旧仮名,,公開,2004-09-13,日本児童文学大系　第一一巻　楠山正雄　沖野岩三郎　宮原晃一郎集,ほるぷ出版,にじねことこだま,,https://www.aozora.gr.jp/cards/000809/files/42757_16361.html
809,宮原 晃一郎,42758,虹猫の大女退治,新字旧仮名,,公開,2004-09-13,日本児童文学大系　第一一巻　楠山正雄　沖野岩三郎　宮原晃一郎集,ほるぷ出版,にじねこのおおおんなたいじ,,https://www.aozora.gr.jp/cards/000809/files/42758_16362.html
809,宮原 晃一郎,42759,虹猫の話,新字旧仮名,,公開,2004-09-13,日本児童文学大系　第一一巻　楠山正雄　沖野岩三郎　宮原晃一郎集,ほるぷ出版,にじねこのはなし,,https://www.aozora.gr.jp/cards/000809/files/42759_16363.html
809,宮原 晃一郎,45162,鳩の鳴く時計,新字旧仮名,,公開,2006-01-18,日本児童文学大系　第一一巻,ほるぷ出版,はとのなくとけい,,https://www.aozora.gr.jp/cards/000809/files/45162_20658.html
809,宮原 晃一郎,45154,拾うた冠,新字旧仮名,,公開,2005-09-15,日本児童文学大系　第一一巻,ほるぷ出版,ひろうたかんむり,,https://www.aozora.gr.jp/cards/000809/files/45154_19261.html
809,宮原 晃一郎,45167,風変りな決闘,新字旧仮名,,公開,2006-04-14,日本児童文学大系　第一一巻,ほるぷ出版,ふうがわりなけっとう,,https://www.aozora.gr.jp/cards/000809/files/45167_22332.html
809,宮原 晃一郎,45158,蛇いちご,新字旧仮名,,公開,2005-09-17,日本児童文学大系　第一一巻,ほるぷ出版,へびいちご,,https://www.aozora.gr.jp/cards/000809/files/45158_19264.html
809,宮原 晃一郎,45160,豆小僧の冒険,新字旧仮名,,公開,2005-09-17,日本児童文学大系　第一一巻,ほるぷ出版,まめこぞうのぼうけん,,https://www.aozora.gr.jp/cards/000809/files/45160_19266.html
809,宮原 晃一郎,3044,椰子蟹,新字新仮名,,公開,2001-08-27,赤い鳥傑作集,新潮文庫、新潮社,やしがに,,https://www.aozora.gr.jp/cards/000809/files/3044_22416.html
809,宮原 晃一郎,45156,夢の国,新字旧仮名,,公開,2006-01-18,日本児童文学大系　第一一巻,ほるぷ出版,ゆめのくに,,https://www.aozora.gr.jp/cards/000809/files/45156_20656.html
809,宮原 晃一郎,42763,ラマ塔の秘密,新字旧仮名,,公開,2004-09-15,日本児童文学大系　第一一巻　楠山正雄　沖野岩三郎　宮原晃一郎集,ほるぷ出版,ラマとうのひみつ,,https://www.aozora.gr.jp/cards/000809/files/42763_16364.html
809,宮原 晃一郎,45157,竜宮の犬,新字旧仮名,,公開,2005-09-15,日本児童文学大系　第一一巻,ほるぷ出版,りゅうぐうのいぬ,,https://www.aozora.gr.jp/cards/000809/files/45157_19263.html
809,宮原 晃一郎,42762,漁師の冒険,新字旧仮名,,公開,2004-09-15,日本児童文学大系　第一一巻　楠山正雄　沖野岩三郎　宮原晃一郎集,ほるぷ出版,りょうしのぼうけん,,https://www.aozora.gr.jp/cards/000809/files/42762_16365.html
809,宮原 晃一郎,43615,鷲の巣,旧字旧仮名,宮原 晃一郎,公開,2008-04-19,北歐近代短篇集,白水社,わしのす,,https://www.aozora.gr.jp/cards/001158/files/43615_30594.html
311,宮本 百合子,4027,愛,新字新仮名,,公開,2003-12-27,宮本百合子全集　第十七巻,新日本出版社,あい,,https://www.aozora.gr.jp/cards/000311/files/4027_12690.html
311,宮本 百合子,2776,「愛怨峡」における映画的表現の問題,新字新仮名,,公開,2003-03-01,宮本百合子全集　第十一巻,新日本出版社,「あいえんきょう」におけるえいがてきひょうげんのもんだい,,https://www.aozora.gr.jp/cards/000311/files/2776_8797.html
311,宮本 百合子,3250,合図の旗,新字新仮名,,公開,2003-09-14,宮本百合子全集　第十五巻,新日本出版社,あいずのはた,,https://www.aozora.gr.jp/cards/000311/files/3250_10890.html
311,宮本 百合子,2913,「愛と死」,新字新仮名,,公開,2003-04-17,宮本百合子全集　第十二巻,新日本出版社,「あいとし」,,https://www.aozora.gr.jp/cards/000311/files/2913_9184.html
311,宮本 百合子,3852,愛と平和を理想とする人間生活,新字新仮名,,公開,2003-11-18,宮本百合子全集　第十七巻,新日本出版社,あいとへいわをりそうとするにんげんせいかつ,,https://www.aozora.gr.jp/cards/000311/files/3852_12691.html
311,宮本 百合子,3074,愛は神秘な修道場,新字新仮名,,公開,2003-07-03,宮本百合子全集　第十四巻,新日本出版社,あいはしんぴなしゅうどうじょう,,https://www.aozora.gr.jp/cards/000311/files/3074_10631.html
311,宮本 百合子,4009,青田は果なし,新字新仮名,,公開,2003-12-21,宮本百合子全集　第十七巻,新日本出版社,あおたははてなし,,https://www.aozora.gr.jp/cards/000311/files/4009_12697.html
311,宮本 百合子,1978,赤い貨車,新字新仮名,,公開,2002-05-07,宮本百合子全集　第四巻,新日本出版社,あかいかしゃ,,https://www.aozora.gr.jp/cards/000311/files/1978_6567.html
311,宮本 百合子,1969,明るい海浜,新字新仮名,,公開,2002-10-27,宮本百合子全集　第三巻,新日本出版社,あかるいかいひん,,https://www.aozora.gr.jp/cards/000311/files/1969_6866.html
311,宮本 百合子,2755,明るい工場,新字新仮名,,公開,2002-12-05,宮本百合子全集　第九巻,新日本出版社,あかるいこうば,,https://www.aozora.gr.jp/cards/000311/files/2755_7351.html
311,宮本 百合子,7921,秋風,新字新仮名,,公開,2009-03-30,宮本百合子全集　第二十九巻,新日本出版社,あきかぜ,,https://www.aozora.gr.jp/cards/000311/files/7921_34403.html
311,宮本 百合子,16015,秋霧,新字新仮名,,公開,2008-03-27,宮本百合子全集　第三十巻,新日本出版社,あきぎり,,https://www.aozora.gr.jp/cards/000311/files/16015_29997.html
311,宮本 百合子,7922,秋毛,新字新仮名,,公開,2009-03-30,宮本百合子全集　第二十九巻,新日本出版社,あきげ,,https://www.aozora.gr.jp/cards/000311/files/7922_34404.html
311,宮本 百合子,15963,秋の反射,新字新仮名,,公開,2007-10-02,宮本百合子全集　第三十巻,新日本出版社,あきのはんしゃ,,https://www.aozora.gr.jp/cards/000311/files/15963_27925.html
311,宮本 百合子,7931,秋の夜,新字新仮名,,公開,2009-03-30,宮本百合子全集　第二十九巻,新日本出版社,あきのよる,,https://www.aozora.gr.jp/cards/000311/files/7931_34405.html
311,宮本 百合子,2008,朝の風,新字新仮名,,公開,2002-06-05,宮本百合子全集　第五巻,新日本出版社,あさのかぜ,,https://www.aozora.gr.jp/cards/000311/files/2008_6542.html
311,宮本 百合子,4011,朝の話,新字新仮名,,公開,2003-12-21,宮本百合子全集　第十七巻,新日本出版社,あさのはなし,,https://www.aozora.gr.jp/cards/000311/files/4011_12702.html
311,宮本 百合子,15944,葦笛（一幕）,新字新仮名,,公開,2009-11-24,宮本百合子全集　第二十八巻（習作一）,新日本出版社,あしぶえ（ひとまく）,,https://www.aozora.gr.jp/cards/000311/files/15944_36945.html
311,宮本 百合子,2968,明日咲く花,新字新仮名,,公開,2003-05-06,宮本百合子全集　第十三巻,新日本出版社,あすさくはな,,https://www.aozora.gr.jp/cards/000311/files/2968_10053.html
311,宮本 百合子,3182,明日の実力の為に,新字新仮名,,公開,2003-08-05,宮本百合子全集　第十四巻,新日本出版社,あすのじつりょくのために,,https://www.aozora.gr.jp/cards/000311/files/3182_10847.html
311,宮本 百合子,2972,明日の知性,新字新仮名,,公開,2003-05-08,宮本百合子全集　第十三巻,新日本出版社,あすのちせい,,https://www.aozora.gr.jp/cards/000311/files/2972_10061.html
311,宮本 百合子,3429,明日への新聞,新字新仮名,,公開,2003-10-18,宮本百合子全集　第十六巻,新日本出版社,あすへのしんぶん,,https://www.aozora.gr.jp/cards/000311/files/3429_12335.html
311,宮本 百合子,3271,明日をつくる力,新字新仮名,,公開,2003-09-20,宮本百合子全集　第十五巻,新日本出版社,あすをつくるちから,,https://www.aozora.gr.jp/cards/000311/files/3271_10932.html
311,宮本 百合子,3159,新しい一夫一婦,新字新仮名,,公開,2003-07-30,宮本百合子全集　第十四巻,新日本出版社,あたらしいいっぷいっぷ,,https://www.aozora.gr.jp/cards/000311/files/3159_10801.html
311,宮本 百合子,3465,新しい潮,新字新仮名,,公開,2003-10-24,宮本百合子全集　第十六巻,新日本出版社,あたらしいうしお,,https://www.aozora.gr.jp/cards/000311/files/3465_12371.html
